"Project-Roll-Frame","Date","Publisher","Scale","sortOrder","Physical Item Location","Rights","County#1","State#1","1:24000 USGS Topo Quad Name#1#1","1:24000 USGS Topo Quad Name Authority#1#1","1:24000 USGS Topo Quad Name#1#10","1:24000 USGS Topo Quad Name Authority#1#10","1:24000 USGS Topo Quad Name#1#11","1:24000 USGS Topo Quad Name Authority#1#11","1:24000 USGS Topo Quad Name#1#12","1:24000 USGS Topo Quad Name Authority#1#12","1:24000 USGS Topo Quad Name#1#13","1:24000 USGS Topo Quad Name Authority#1#13","1:24000 USGS Topo Quad Name#1#14","1:24000 USGS Topo Quad Name Authority#1#14","1:24000 USGS Topo Quad Name#1#15","1:24000 USGS Topo Quad Name Authority#1#15","1:24000 USGS Topo Quad Name#1#16","1:24000 USGS Topo Quad Name Authority#1#16","1:24000 USGS Topo Quad Name#1#2","1:24000 USGS Topo Quad Name Authority#1#2","1:24000 USGS Topo Quad Name#1#3","1:24000 USGS Topo Quad Name Authority#1#3","1:24000 USGS Topo Quad Name#1#4","1:24000 USGS Topo Quad Name Authority#1#4","1:24000 USGS Topo Quad Name#1#5","1:24000 USGS Topo Quad Name Authority#1#5","1:24000 USGS Topo Quad Name#1#6","1:24000 USGS Topo Quad Name Authority#1#6","1:24000 USGS Topo Quad Name#1#7","1:24000 USGS Topo Quad Name Authority#1#7","1:24000 USGS Topo Quad Name#1#8","1:24000 USGS Topo Quad Name Authority#1#8","1:24000 USGS Topo Quad Name#1#9","1:24000 USGS Topo Quad Name Authority#1#9","Landmark#1#1","Landmark Authority#1#1","County#2","State#2","1:24000 USGS Topo Quad Name#2#1","1:24000 USGS Topo Quad Name Authority#2#1","1:24000 USGS Topo Quad Name#2#2","1:24000 USGS Topo Quad Name Authority#2#2","1:24000 USGS Topo Quad Name#2#3","1:24000 USGS Topo Quad Name Authority#2#3","1:24000 USGS Topo Quad Name#2#4","1:24000 USGS Topo Quad Name Authority#2#4","Landmark#2#1","Landmark Authority#2#1","County#3","State#3","1:24000 USGS Topo Quad Name#3#1","1:24000 USGS Topo Quad Name Authority#3#1","1:24000 USGS Topo Quad Name#3#2","1:24000 USGS Topo Quad Name Authority#3#2","1:24000 USGS Topo Quad Name#3#3","1:24000 USGS Topo Quad Name Authority#3#3","County#4","State#4","1:24000 USGS Topo Quad Name#4#1","1:24000 USGS Topo Quad Name Authority#4#1","Center Point Latitude#1","Center Point Longitude#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:1","lnexp_IMAGEURL:8"
"BOW 10-21","10/25/1938","United States Forest Service","1:20,000","10021","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Granby Mesa","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 06 11","-105 52 39","34890","","BOW010021.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34890~102878","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010021.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010021.jp2&width=5370&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 10-23","10/25/1938","United States Forest Service","1:20,000","10023","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Strawberry Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 04 49","-105 52 35","34894","","BOW010023.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34894~102879","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010023.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010023.jp2&width=5321&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 10-25","10/25/1938","United States Forest Service","1:20,000","10025","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fraser River","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 03 18","-105 52 55","34898","","BOW010025.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34898~102880","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010025.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010025.jp2&width=5370&height=4162&x=0&y=0&resolution=6&level=0"
"BOW 10-27","10/25/1938","United States Forest Service","1:20,000","10027","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fraser River","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 01 55","-105 52 37","34902","","BOW010027.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34902~102881","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010027.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010027.jp2&width=5370&height=4162&x=0&y=0&resolution=6&level=0"
"BOW 10-29","10/25/1938","United States Forest Service","1:20,000","10029","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fraser River","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 00 28","-105 52 35","34905","","BOW010029.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34905~102882","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010029.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010029.jp2&width=5370&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 10-31","10/25/1938","United States Forest Service","1:20,000","10031","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Fraser","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pole Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 59 08","-105 52 19","34908","","BOW010031.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34908~102883","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010031.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010031.jp2&width=5321&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-33","10/25/1938","United States Forest Service","1:20,000","10033","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Fraser","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crooked Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 57 40","-105 52 23","34912","","BOW010033.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34912~102884","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010033.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010033.jp2&width=5370&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-35","10/25/1938","United States Forest Service","1:20,000","10035","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Fraser","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spring Branch","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 56 07","-105 52 22","34915","","BOW010035.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34915~102885","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010035.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010035.jp2&width=5442&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 10-37","10/25/1938","United States Forest Service","1:20,000","10037","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Fraser","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Louis Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 54 43","-105 52 28","34919","","BOW010037.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34919~102886","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010037.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010037.jp2&width=5370&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-39","10/25/1938","United States Forest Service","1:20,000","10039","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Bottle Pass","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","East Saint Louis Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 53 30","-105 52 31","34923","","BOW010039.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34923~102887","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010039.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010039.jp2&width=5273&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-41","10/25/1938","United States Forest Service","1:20,000","10041","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Berthoud Pass","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","East Saint Louis Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 52 05","-105 52 09","34927","","BOW010041.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34927~102888","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010041.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010041.jp2&width=5321&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-43","10/25/1938","United States Forest Service","1:20,000","10043","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Berthoud Pass","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","East Saint Louis Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 50 55","-105 52 19","34931","","BOW010043.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34931~102889","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010043.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010043.jp2&width=5394&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 10-45","10/25/1938","United States Forest Service","1:20,000","10045","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Grand","Colorado","Berthoud Pass","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jefferson Lake Dam","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 49 57","-105 52 17","34934","","BOW010045.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34934~147081","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1~17~17/4488/BOW010045.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size4/UCBOULDERCB1~17~17/4488/BOW010045.jpg"
"BOW 10-47","10/25/1938","United States Forest Service","1:20,000","10047","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Berthoud Pass","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vasquez Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 48 57","-105 52 18","34937","","BOW010047.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34937~102890","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010047.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010047.jp2&width=5418&height=4258&x=0&y=0&resolution=6&level=0"
"BOW 10-48","10/25/1938","United States Forest Service","1:20,000","10048","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Berthoud Pass","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vasquez Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 48 17","-105 52 17","34941","","BOW010048.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34941~102891","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010048.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010048.jp2&width=5394&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 1-9","05/08/1938","United States Forest Service","1:20,000","1009","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Contact the Map Library for information regarding use of photographs in this collection.","Jefferson","Colorado","Ralston Buttes","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Coal Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 52 22","-105 16 16","33227","","bow001009.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33227~146582","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1~17~17/4486/bow001009.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1~17~17/4486/bow001009.jp2&width=5492&height=4251&x=0&y=0&resolution=6&level=0"
"BOW 1-11","05/08/1938","United States Forest Service","1:20,000","1011","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Jefferson","Colorado","Eldorado Springs","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Plainview","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 53 59","-105 16 21","33232","","BOW001011.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33232~102545","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW001011.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW001011.jp2&width=5435&height=4248&x=0&y=0&resolution=6&level=0"
"BOW 1-13","05/08/1938","United States Forest Service","1:20,000","1013","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Boulder","Colorado","Eldorado Springs","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","South Boulder Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","39 55 48","-105 16 28","33237","","BOW001013.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33237~102546","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW001013.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW001013.jp2&width=5455&height=4208&x=0&y=0&resolution=6&level=0"
