Project-Roll-Frame,Date,Publisher,Scale,sortOrder,Physical Item Location,Rights,County#1,State#1,1:24000 USGS Topo Quad Name#1#1,1:24000 USGS Topo Quad Name Authority#1#1,1:24000 USGS Topo Quad Name#1#10,1:24000 USGS Topo Quad Name Authority#1#10,1:24000 USGS Topo Quad Name#1#11,1:24000 USGS Topo Quad Name Authority#1#11,1:24000 USGS Topo Quad Name#1#12,1:24000 USGS Topo Quad Name Authority#1#12,1:24000 USGS Topo Quad Name#1#13,1:24000 USGS Topo Quad Name Authority#1#13,1:24000 USGS Topo Quad Name#1#14,1:24000 USGS Topo Quad Name Authority#1#14,1:24000 USGS Topo Quad Name#1#15,1:24000 USGS Topo Quad Name Authority#1#15,1:24000 USGS Topo Quad Name#1#16,1:24000 USGS Topo Quad Name Authority#1#16,1:24000 USGS Topo Quad Name#1#2,1:24000 USGS Topo Quad Name Authority#1#2,1:24000 USGS Topo Quad Name#1#3,1:24000 USGS Topo Quad Name Authority#1#3,1:24000 USGS Topo Quad Name#1#4,1:24000 USGS Topo Quad Name Authority#1#4,1:24000 USGS Topo Quad Name#1#5,1:24000 USGS Topo Quad Name Authority#1#5,1:24000 USGS Topo Quad Name#1#6,1:24000 USGS Topo Quad Name Authority#1#6,1:24000 USGS Topo Quad Name#1#7,1:24000 USGS Topo Quad Name Authority#1#7,1:24000 USGS Topo Quad Name#1#8,1:24000 USGS Topo Quad Name Authority#1#8,1:24000 USGS Topo Quad Name#1#9,1:24000 USGS Topo Quad Name Authority#1#9,Landmark#1#1,Landmark Authority#1#1,County#2,State#2,1:24000 USGS Topo Quad Name#2#1,1:24000 USGS Topo Quad Name Authority#2#1,1:24000 USGS Topo Quad Name#2#2,1:24000 USGS Topo Quad Name Authority#2#2,1:24000 USGS Topo Quad Name#2#3,1:24000 USGS Topo Quad Name Authority#2#3,1:24000 USGS Topo Quad Name#2#4,1:24000 USGS Topo Quad Name Authority#2#4,Landmark#2#1,Landmark Authority#2#1,County#3,State#3,1:24000 USGS Topo Quad Name#3#1,1:24000 USGS Topo Quad Name Authority#3#1,1:24000 USGS Topo Quad Name#3#2,1:24000 USGS Topo Quad Name Authority#3#2,1:24000 USGS Topo Quad Name#3#3,1:24000 USGS Topo Quad Name Authority#3#3,County#4,State#4,1:24000 USGS Topo Quad Name#4#1,1:24000 USGS Topo Quad Name Authority#4#1,Center Point Latitude#1,Center Point Longitude#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
BOW 10-21,10/25/1938,United States Forest Service,"1:20,000",10021,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granby Mesa,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 06 11,-105 52 39,34890,,BOW010021.jpg
BOW 10-23,10/25/1938,United States Forest Service,"1:20,000",10023,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strawberry Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 04 49,-105 52 35,34894,,BOW010023.jpg
BOW 10-25,10/25/1938,United States Forest Service,"1:20,000",10025,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fraser River,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 03 18,-105 52 55,34898,,BOW010025.jpg
BOW 10-27,10/25/1938,United States Forest Service,"1:20,000",10027,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fraser River,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 01 55,-105 52 37,34902,,BOW010027.jpg
BOW 10-29,10/25/1938,United States Forest Service,"1:20,000",10029,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fraser River,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 00 28,-105 52 35,34905,,BOW010029.jpg
BOW 10-31,10/25/1938,United States Forest Service,"1:20,000",10031,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Fraser,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pole Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 59 08,-105 52 19,34908,,BOW010031.jpg
BOW 10-33,10/25/1938,United States Forest Service,"1:20,000",10033,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Fraser,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crooked Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 57 40,-105 52 23,34912,,BOW010033.jpg
BOW 10-35,10/25/1938,United States Forest Service,"1:20,000",10035,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Fraser,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring Branch,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 56 07,-105 52 22,34915,,BOW010035.jpg
BOW 10-37,10/25/1938,United States Forest Service,"1:20,000",10037,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Fraser,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louis Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 54 43,-105 52 28,34919,,BOW010037.jpg
BOW 10-39,10/25/1938,United States Forest Service,"1:20,000",10039,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Bottle Pass,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Saint Louis Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 53 30,-105 52 31,34923,,BOW010039.jpg
BOW 10-41,10/25/1938,United States Forest Service,"1:20,000",10041,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Berthoud Pass,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Saint Louis Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 52 05,-105 52 09,34927,,BOW010041.jpg
BOW 10-43,10/25/1938,United States Forest Service,"1:20,000",10043,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Berthoud Pass,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Saint Louis Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 50 55,-105 52 19,34931,,BOW010043.jpg
BOW 10-45,10/25/1938,United States Forest Service,"1:20,000",10045,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Berthoud Pass,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jefferson Lake Dam,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 49 57,-105 52 17,34934,,BOW010045.jpg
BOW 10-47,10/25/1938,United States Forest Service,"1:20,000",10047,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Berthoud Pass,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vasquez Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 48 57,-105 52 18,34937,,BOW010047.jpg
BOW 10-48,10/25/1938,United States Forest Service,"1:20,000",10048,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Berthoud Pass,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vasquez Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 48 17,-105 52 17,34941,,BOW010048.jpg
BOW 1-9,5/8/1938,United States Forest Service,"1:20,000",1009,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Jefferson,Colorado,Ralston Buttes,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coal Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 52 22,-105 16 16,33227,,bow001009.jpg
BOW 1-11,5/8/1938,United States Forest Service,"1:20,000",1011,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Jefferson,Colorado,Eldorado Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plainview,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 53 59,-105 16 21,33232,,BOW001011.jpg
BOW 1-13,5/8/1938,United States Forest Service,"1:20,000",1013,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Eldorado Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Boulder Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 55 48,-105 16 28,33237,,BOW001013.jpg
BOW 1-14,5/8/1938,United States Forest Service,"1:20,000",1014,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Eldorado Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Boulder Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 56 29,-105 16 26,33241,,BOW001014.jpg
BOW 1-15,5/8/1938,United States Forest Service,"1:20,000",1015,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Eldorado Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bear Creek Ditch,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 57 22,-105 16 26,33244,,BOW001015.jpg
BOW 1-17,5/8/1938,United States Forest Service,"1:20,000",1017,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Eldorado Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skunk Canyon,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 59 06,-105 16 46,33248,,BOW001017.jpg
BOW 1-18,5/8/1938,United States Forest Service,"1:20,000",1018,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Boulder,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulder,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 00 15,-105 16 47,33252,,BOW001018.jpg
BOW 1-19,5/8/1938,United States Forest Service,"1:20,000",1019,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Boulder,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulder,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 00 55,-105 16 42,33257,,BOW001019.jpg
BOW 1-20,5/8/1938,United States Forest Service,"1:20,000",1020,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Boulder,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goose Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 01 41,-105 16 53,33260,,BOW001020.jpg
